Id,Season,Home Team,Home Points,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Team,Away Points,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index
401523988,2023,Hawai'i,24,0.0109506348014776,1241,1220,Stanford,37,0.9890493651985224,1324.0,1345.0,4.249206256
401524003,2023,USC,56,0.998961738,1817,1891,Stanford,10,0.001038262,1345.0,1271.0,2.266054064
401524016,2023,Stanford,20,0.1930592561256409,1271,1278,Arizona,21,0.8069407438743591,1453.0,1446.0,7.396189391
401524024,2023,Stanford,6,0.001095826,1278,1237,Oregon,42,0.9989041738938136,1782.0,1823.0,3.294809164
401524029,2023,Colorado,43,0.6494934630624939,1293,1285,Stanford,46,0.3505065369375061,1237.0,1245.0,7.697019859
401524036,2023,Stanford,7,0.000521717,1245,1198,UCLA,42,0.9994782834712216,1671.0,1718.0,2.328706031
401524042,2023,Stanford,33,0.2821995167793606,1198,1230,Washington,42,0.7178004832206394,1884.0,1852.0,6.921231233
401524050,2023,Washington State,7,0.3936762536456365,1454,1435,Stanford,10,0.6063237463543635,1230.0,1249.0,7.107037038
401524054,2023,Oregon State,62,0.9985449320911168,1765,1830,Stanford,17,0.001455068,1249.0,1184.0,2.976711818
401524061,2023,Stanford,15,0.003791722,1184,1179,California,27,0.9962082783640794,1426.0,1431.0,4.761372887
401524065,2023,Stanford,23,0.000307577,1179,1180,Notre Dame,56,0.9996924226535844,2010.0,2009.0,3.450512628
