"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401634300","Stanford","27","TCU","34","Bovada","58.5","8.0","TCU -8.0","8.5","58.5","250","-300"
"401634766","Syracuse","24","Stanford","26","Bovada","57.0","-7.5","Syracuse -7.5","-9.5","58.5","-330","265"
"401635625","San José State","34","Stanford","31","Bovada","54.5","-2.5","San José State -2.5","-2.5","56","-135","115"
"401635590","Stanford","10","SMU","40","Bovada","52.5","16.5","SMU -16.5","14.5","55.5","460","-675"
"401635517","Stanford","38","Louisville","35","Bovada","58.5","21.0","Louisville -21.0","20.0","57.5","750","-1400"
"401635599","Stanford","24","Wake Forest","27","Bovada","53","3.0","Wake Forest -3.0","3.0","55.5","125","-145"
"401635613","California","24","Stanford","21","Bovada","53.5","-14.5","California -14.5","-14.0","55.5","-675","460"
"401635573","Stanford","7","Virginia Tech","31","Bovada","49.5","8.5","Virginia Tech -8.5","6.5","53.5","255","-310"
"401628981","Notre Dame","49","Stanford","7","Bovada","45","-22.5","Notre Dame -22.5","-23.0","46","-2200","1000"
"401635516","NC State","59","Stanford","28","Bovada","46.5","-9.5","NC State -9.5","-10.0","47.5","-410","305"
"401635561","Clemson","40","Stanford","14","Bovada","58","-24.0","Clemson -24.0","-21.5","58","-1900","900"
"401634300","Stanford","27","TCU","34","DraftKings","61","8.5","TCU -8.5","8.5","61","250","-310"
"401634766","Syracuse","24","Stanford","26","DraftKings","56.5","-9.5","Syracuse -9.5","","","-345","275"
"401635625","San José State","34","Stanford","31","DraftKings","54.5","-2.5","San José State -2.5","-1.5","","-130","110"
"401635590","Stanford","10","SMU","40","DraftKings","52.5","16.5","SMU -16.5","14","","525","-750"
"401635517","Stanford","38","Louisville","35","DraftKings","57.5","21","Louisville -21","20","","900","-1600"
"401635599","Stanford","24","Wake Forest","27","DraftKings","53","3","Wake Forest -3","-1.5","","124","-148"
"401635613","California","24","Stanford","21","DraftKings","53.5","-15","California -15","-13","","-600","440"
"401635573","Stanford","7","Virginia Tech","31","DraftKings","50","9.5","Virginia Tech -9.5","6.5","","275","-345"
"401628981","Notre Dame","49","Stanford","7","DraftKings","45.5","-22.5","Notre Dame -22.5","-23","","-2100","1100"
"401635516","NC State","59","Stanford","28","DraftKings","46.5","-10","NC State -10","-10.5","","-375","295"
"401635561","Clemson","40","Stanford","14","DraftKings","58","-24","Clemson -24","-22.5","","-2800","1300"
"401634300","Stanford","27","TCU","34","ESPN Bet","58.5","8.5","TCU -8.5","","","",""
"401634766","Syracuse","24","Stanford","26","ESPN Bet","56.5","-9.5","Syracuse -9.5","-9.5","58.5","-350","280"
"401635625","San José State","34","Stanford","31","ESPN Bet","54.5","-2.5","San José State -2.5","-2.5","55.5","-135","115"
"401635590","Stanford","10","SMU","40","ESPN Bet","52.5","16.5","SMU -16.5","15.5","55.5","550","-800"
"401635517","Stanford","38","Louisville","35","ESPN Bet","57.5","20.5","Louisville -20.5","20.5","58.5","900","-1800"
"401635599","Stanford","24","Wake Forest","27","ESPN Bet","51.5","2.5","Wake Forest -2.5","2.5","55.5","130","-150"
"401635539","Stanford","41","Cal Poly","7","ESPN Bet","59.5","-33.5","Stanford -33.5","-35.5","58.5","",""
"401635613","California","24","Stanford","21","ESPN Bet","52.5","-15.5","California -15.5","-14","55.5","-700","450"
"401635573","Stanford","7","Virginia Tech","31","ESPN Bet","49.5","9.5","Virginia Tech -9.5","6","53.5","280","-350"
"401628981","Notre Dame","49","Stanford","7","ESPN Bet","45.5","-22.5","Notre Dame -22.5","-23.5","45.5","-2000","1100"
"401635516","NC State","59","Stanford","28","ESPN Bet","46.5","-9.5","NC State -9.5","-10","47.5","-400","300"
"401635561","Clemson","40","Stanford","14","ESPN Bet","57.5","-23.5","Clemson -23.5","-22","57.5","-2500","1200"
