Game Id,School,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
401628981,Stanford,1,0,0,0,0,3,0,3,1,0,0,0,1,3,3,0,42,1,0,1,30:44,0,1,1,3-25,2.8,41,113,4.8,10-18,87,200,1-4,4-12,14
401634300,Stanford,1,0,0,0,2,11,0,1,9,0,0,0,2,1,4,0,40,1,2,2,29:45,1,0,1,4-24,3.3,37,121,4.6,18-36,165,286,2-5,5-15,17
401634766,Stanford,0,8,0,3,1,0,0,0,14,71,1,2,0,1,7,1,36,4,1,3,32:37,2,0,2,7-55,5.4,32,173,4.7,23-38,178,351,2-2,5-14,20
401635516,Stanford,3,0,0,1,1,51,0,2,4,37,0,1,0,2,6,0,34,2,2,0,26:19,1,1,2,7-57,5.8,39,225,10.8,9-16,173,398,1-3,3-9,16
401635517,Stanford,0,9,0,2,4,47,0,3,12,1,0,1,0,1,0,0,30,0,7,1,35:07,1,0,1,3-30,2.2,37,83,9.5,23-34,323,406,3-3,5-16,22
401635561,Stanford,0,-1,0,2,2,0,0,0,2,0,0,1,0,1,6,0,35,1,4,3,33:47,3,0,3,5-58,5.4,44,236,4.6,13-27,125,361,0-3,7-17,20
401635573,Stanford,0,-2,0,2,1,57,0,2,1,0,0,0,0,3,4,0,31,1,3,2,33:08,1,1,2,4-24,3.3,41,136,4.9,14-25,122,258,3-3,5-13,18
401635590,Stanford,0,0,0,0,1,17,0,1,4,0,0,1,1,0,4,0,38,3,2,1,32:45,2,0,2,7-65,0.9,35,33,4.7,18-37,173,206,2-4,2-15,15
401635599,Stanford,1,0,0,0,1,22,0,1,6,0,0,1,1,2,5,1,41,4,7,3,27:18,3,1,4,6-50,4.6,26,120,6.0,29-40,238,358,1-1,5-11,23
401635613,Stanford,2,35,0,1,1,0,0,0,3,0,0,0,1,2,11,0,32,6,1,3,33:01,0,0,0,5-55,3.1,39,120,4.9,15-29,141,261,3-5,5-15,14
401635625,Stanford,2,15,0,1,1,10,0,1,7,46,0,1,1,0,5,0,33,1,3,2,31:18,3,0,3,10-115,4.0,32,127,6.3,26-40,252,379,3-5,6-15,21
