Game Id,School,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,interceptionYards,interceptionTDs,passesIntercepted
401523988,Stanford,2,14,0,1,2,0,0,0,13,0,0,8,0,37,6,1,3,33:55:00,0,0,0,Sep-81,4.6,34,158,6.9,25-36,248,406,0-0,14-Jun,24,0,0,0
401524003,Stanford,1,0,0,0,0,57,0,3,4,1,4,0,0,0,0,0,0,32:08:00,1,2,3,May-40,5.1,41,209,5.6,25-Oct,140,349,0-1,13-Apr,20,0,0,0
401524016,Stanford,2,0,0,0,0,0,0,0,8,0,1,3,0,30,2,5,1,31:09:00,0,0,0,Jun-45,3.2,35,112,7.7,18-32,246,358,1-Jan,16-Jul,19,0,0,0
401524024,Stanford,0,0,0,0,0,23,0,1,6,0,1,2,0,28,0,0,1,35:36:00,0,0,0,25-Apr,1.9,46,89,5.5,14-24,133,222,6-Mar,18-Jun,16,0,0,0
401524029,Stanford,2,0,0,0,4,22,0,2,10,0,2,5,0,52,4,5,2,34:42:00,0,0,0,Jul-74,3.2,39,124,8.1,28-49,399,523,0-1,18-Oct,29,0,0,1
401524036,Stanford,0,1,0,1,1,122,0,8,1,0,1,11,0,40,4,4,0,23:04,1,1,2,10-113,1.4,17,24,6,27-45,268,292,0-4,11-Jan,15,0,0,0
401524042,Stanford,3,0,0,0,1,31,0,2,9,1,1,2,0,29,1,4,2,34:40:00,0,0,0,Aug-74,3.7,35,128,7.2,31-51,367,495,3-Jan,16-May,26,0,0,1
401524050,Stanford,1,8,0,1,0,9,0,1,4,0,0,6,0,27,3,8,2,34:25:00,1,0,1,May-32,2,38,75,4.4,16-32,142,217,3-Feb,18-Jun,18,10,0,1
401524054,Stanford,1,9,0,1,1,0,0,1,5,0,2,4,0,27,1,3,0,29:13:00,4,0,4,Apr-45,2.6,32,82,7.6,14-32,242,324,0-1,13-Mar,18,0,0,0
401524061,Stanford,0,16,0,2,1,0,0,0,9,0,2,6,0,37,2,3,5,24:24:00,0,0,0,9-100,4.2,24,101,5.4,18-35,188,289,2-Jan,16-May,12,25,0,1
401524065,Stanford,2,0,0,0,0,0,0,0,11,2,1,1,0,31,0,3,2,33:02:00,1,1,2,15-Feb,4.6,31,143,5.1,21-42,216,359,4-Jan,16-May,19,9,0,2
