week,date,team1,score1,team2,score2
2,7:30 PM,Arkansas,70,Arkansas-Pine Bluff,0
2,7:30 PM,Auburn,73,Alabama A&M,3
2,7:45 PM,Kentucky,31,Southern Mississippi,0
2,3:30 PM,(19)Miami (FL),41,Florida,17
2,6:00 PM,Mississippi State,56,Eastern Kentucky,7
2,4:15 PM,South Carolina,23,Old Dominion,19
2,12:00 PM,Vanderbilt,34,Virginia Tech,27
3,10:30 PM,Arizona State,30,Mississippi State,23
3,3:30 PM,California,21,Auburn,14
3,7:00 PM,Florida,45,Samford,7
3,12:00 PM,(16)Oklahoma State,39,Arkansas,31
3,3:30 PM,South Carolina,31,Kentucky,6
3,12:45 PM,Texas A&M,52,McNeese State,10
3,7:30 PM,Vanderbilt,55,Alcorn State,0
4,4:15 PM,Arkansas,37,Alabama-Birmingham,27
4,7:30 PM,Auburn,45,New Mexico,19
4,7:30 PM,(1)Georgia,13,Kentucky,12
4,7:00 PM,Georgia State,36,Vanderbilt,32
4,12:00 PM,(16)Louisiana State,36,South Carolina,33
4,3:30 PM,Texas A&M,33,Florida,20
4,7:30 PM,Toledo,41,Mississippi State,17
5,3:30 PM,Arkansas,24,Auburn,14
5,12:00 PM,Florida,45,Mississippi State,28
5,12:45 PM,Kentucky,41,Ohio,6
5,4:15 PM,(7)Missouri,30,Vanderbilt,27
5,7:30 PM,South Carolina,50,Akron,7
6,12:00 PM,Kentucky,20,(6)Mississippi,17
6,3:40 PM,(21)Oklahoma,27,Auburn,21
6,4:15 PM,(1)Texas,35,Mississippi State,13
6,3:30 PM,(24)Texas A&M,21,Arkansas,17
7,7:30 PM,Arkansas,19,(4)Tennessee,14
7,7:45 PM,Florida,24,Central Florida,13
7,3:30 PM,(5)Georgia,31,Auburn,13
7,3:30 PM,(12)Mississippi,27,South Carolina,3
7,4:15 PM,Vanderbilt,40,(1)Alabama,35
8,12:00 PM,(7)Alabama,27,South Carolina,25
8,4:15 PM,(5)Georgia,41,Mississippi State,31
8,7:00 PM,(8)Tennessee,23,Florida,17
8,7:45 PM,Vanderbilt,20,Kentucky,13
9,7:45 PM,Florida,48,Kentucky,20
9,7:00 PM,(8)Louisiana State,34,Arkansas,10
9,12:00 PM,(19)Missouri,21,Auburn,17
9,12:45 PM,South Carolina,35,Oklahoma,9
9,4:15 PM,(14)Texas A&M,34,Mississippi State,24
9,7:00 PM,Vanderbilt,24,Ball State,14
10,12:45 PM,Arkansas,58,Mississippi State,25
10,7:45 PM,Auburn,24,Kentucky,10
10,12:00 PM,(18)Mississippi,26,Oklahoma,14
11,3:30 PM,(2)Georgia,34,Florida,20
11,12:00 PM,(19)Mississippi,63,Arkansas,31
11,4:15 PM,Mississippi State,45,Massachusetts,20
11,1:00 PM,Oklahoma,59,Maine,14
11,7:30 PM,South Carolina,44,(10)Texas A&M,20
11,7:45 PM,(7)Tennessee,28,Kentucky,18
11,12:45 PM,Vanderbilt,17,Auburn,7
12,12:00 PM,Florida,0,(5)Texas,0
12,7:00 PM,Mississippi State,0,(7)Tennessee,0
12,7:45 PM,Oklahoma,0,Missouri,0
12,4:15 PM,South Carolina,0,(24)Vanderbilt,0
13,3:30 PM,(14)Louisiana State,,Florida,
13,12:45 PM,Louisiana-Monroe,,Auburn,
13,TBD,Missouri,,South Carolina,
13,1:30 PM,Murray State,,Kentucky,
13,12:00 PM,(5)Texas,,Arkansas,
14,TBD,(11)Alabama,,Oklahoma,
14,TBD,Kentucky,,(5)Texas,
14,TBD,Louisiana Tech,,Arkansas,
14,12:00 PM,(16)Mississippi,,Florida,
14,TBD,Missouri,,Mississippi State,
14,TBD,(15)Texas A&M,,Auburn,
14,4:00 PM,Wofford,,South Carolina,
15,3:30 PM,Mississippi State,,(16)Mississippi,
15,TBD,Arkansas,,Missouri,
15,TBD,Auburn,,(11)Alabama,
15,TBD,Florida,,Florida State,
15,TBD,(25)Louisville,,Kentucky,
15,TBD,Oklahoma,,(14)Louisiana State,
15,TBD,South Carolina,,(19)Clemson,
